System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
tuIVSjFuGbIslWw9ywE4,Moalijat Vol 1-4,Hkm. Wasim Ahmad Azmi,,Undefined,520,650,10,TEMP-9790000001787,,,,,,,,,
UkrqDyqc4W75iCOQIOvW,Moalijat-e-Hummiyat,Hkm. Zia Baig,3rd (Final) Prof.,Medicine (Moalijat),160,200,10,TEMP-9790000001794,,,,,,,,,
jzSZXksnQRv6TKPkcJKH,Moalijat-e-Hummiyat,Hkm. Syed Ali Haider Jafri,3rd (Final) Prof.,Medicine (Moalijat),240,300,10,9789390000000,,,,,,,,,
MVMrvpTmANvcbNcIlw84,"Moalijate Amraz Asbi, Ras Wa Nafsiyaat",Hkm. Zia Baig,3rd (Final) Prof.,Medicine (Moalijat),120,150,10,TEMP-9790000001800,,,,,,,,,
JWTej51P9U2vyEgoGz2v,Modern Home Beautician & Cosmetic Sazi,Saba Rasheed,General,Undefined,96,120,10,TEMP-9790000001817,,,,,,,,,
Zbv5cQo6gOkezrZiw2ZJ,Mojzul Qanoon,Hkm. Khawaja Rizwan Ahmad,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001824,,,,,,,,,
8GRpxpTaWrUbXNurkYc7,Mojuz Qanoon,Kausar Chaand Puri,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001831,,,,,,,,,
iino6BpXdPgtJYc5KPd2,Mubadi Mantiq Wa Falsafa,Abdul Dayeem Jalali,1st (First) Prof.,"Urdu, Arabic, Mantiq wa Falsafa",56,70,10,TEMP-9790000001848,,,,,,,,,
DGAS43lwpi6xzsb25NoP,Mubadi Tibb Par Ek Tehqeqi Nazar,Hkm. Altaf Ahmad Azmi,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001855,,,,,,,,,
q4jWu7vavDmhlQkAnUJE,Mubadiyate Mantiq Wa Falsafa,Hkm. Taskheer Ahmad,1st (First) Prof.,"Urdu, Arabic, Mantiq wa Falsafa",160,200,10,9789390000000,,,,,,,,,
5uohWmjONldVwXAyqxfz,Mufeedul Ajsaam,Dr. Fazal Ali,Reference Books,Undefined,240,300,10,TEMP-9790000001862,,,,,,,,,
OYBE9Xhre6Os177BgBLk,Mufredat Azeezi,Hkm. Abdul Aziz,Reference Books,Undefined,0,0,10,TEMP-9790000001879,,,,,,,,,
0W1X8AXwVrxXOsLUlCAr,Muheet Azam Vol.1-4,Hkm. Azam Khan,Reference Books,Undefined,0,0,10,TEMP-9790000001886,,,,,,,,,
KM6nh8d3jRU1H3yX8hde,Mujarrebat Akbari,Hkm. Md. Akbar,Reference Books,Undefined,0,0,10,TEMP-9790000001893,,,,,,,,,
YfsC6uIDjpiMXN8gzKrb,Mujarrebat Bashir,Hkm. Bashir Ahmad,Reference Books,Undefined,0,0,10,TEMP-9790000001909,,,,,,,,,
Dw1Y6iV1zYr2OuDNtmOM,Mujarrebat Israre Hikmat,Hkm. Nood Md. Chauhan,Reference Books,Undefined,800,1000,10,TEMP-9790000001916,,,,,,,,,
MfdbwKMGcTqj19FGOIIK,Mujarrebat Jeelani,Hkm. Gulam Jeelani Amritsari,Reference Books,Undefined,1200,1500,10,TEMP-9790000001923,,,,,,,,,
SMMAFd1dqPQEuQRjvE1y,Mujarrebat Razai,Raza Hasan,Reference Books,Undefined,240,300,10,TEMP-9790000001930,,,,,,,,,
EfjAydu2mw89uUhT8ZOU,Mujarrebat Sultani,Hkm. Maulvi Md. Yaar Khan,Reference Books,Undefined,1600,2000,10,TEMP-9790000001947,,,,,,,,,
Lwi9INkNXqPH4wJWZTSa,Mujrebat Bo Ali Sena,Hkm. Bo Ali Sena,General,Undefined,160,200,10,TEMP-9790000001954,,,,,,,,,
BhxzLCkpOkjxAitsK0Ig,Mujrebate Luqmani,Hkm. Abdul Raheem,Masters or P.G.,Undefined,160,200,10,9789390000000,,,,,,,,,
6fUPPol4SmftZ6IOOWX5,Mukhtasar Tibbi Sawalat Wa Jawabat,Imamuddin,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,TEMP-9790000001961,,,,,,,,,
PUyvVUND4KcibuvlOY4W,Mulkhas Fasool Buqratia,Hkm. Gulam Hasnain Kantori,Reference Books,Undefined,480,600,10,TEMP-9790000001978,,,,,,,,,
IUBH1pFSRdjee7CbH9Ua,Munafe Ul Aza MCQs,Dr. Zubair Ansari,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,TEMP-9790000001985,,,,,,,,,
rueyTTYPyAds7AWOt77B,Munafeul Aza,Javed Ahmed Lari,1st (First) Prof.,Undefined,0,0,10,TEMP-9790000001992,,,,,,,,,
3P2u0V8lVnwV1SYF25uB,Munafeul Aza (Physiology),Hkm. Md. Yusuf Ansari,1st (First) Prof.,Human Anatomy (Tashreeh-ul-Badan),480,600,10,TEMP-9790000002005,,,,,,,,,
7unjErf3aJNWh719xKUL,Munafeul Aza ke Sawal Wa Jawab,Dr. Danish Jafar,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,120,150,10,TEMP-9790000002012,,,,,,,,,
AGVULVHWaZIkk7HJIrbb,Munafeul Mufredat,Hkm. Md. Yusuf Ansari,2nd (Second) Prof.,Single Drugs (Mufradat),320,400,10,TEMP-9790000002029,,,,,,,,,
imxZ9QFb3baZjhALdcM6,Muqadma Ilmul Advia,Hkm. Ahtysham Ul Haque,2nd (Second) Prof.,Unani Pharmacology (Kulliyat-e-Advia),240,300,10,9789390000000,,,,,,,,,
9MwRyYlKCrSTDSvn8ZCv,Murakkabat Ahsaani,Hkm. Ahsan Ali,Reference Books,Undefined,0,0,10,TEMP-9790000002036,,,,,,,,,
IMvxQilCuepwxoYDFEFu,Murakkabat E Advia Vol.1-2,Hkm. Wasim Ahmad Azmi,2nd (Second) Prof.,Drugs Formulation (Murakkabat),640,800,10,TEMP-9790000002043,,,,,,,,,
4aUiNejQSAJKtCapvUY6,Murakkabat Ziai,Dr. Aslam Khan,2nd (Second) Prof.,Drugs Formulation (Murakkabat),160,200,10,9788200000000,,,,,,,,,
5gd7nabeYvH0TrKcltd0,Mustanad Ilaj Nabvi,Shaikh Ahmed Bin Mehmood,General,Undefined,160,200,10,TEMP-9790000002050,,,,,,,,,
0tziRrF3gOvSptLrkOpJ,Mustanad Ilaj Qurani,Shaikh Ahmed Bin Mehmood,General,Undefined,200,250,10,9789390000000,,,,,,,,,
j4WtAeROqcuK3dzrzOBj,Mutadi Wa Wabai Amraz,Dr. Abdul Mubeen Khan,2nd (Second) Prof.,Preventive & Social Medicine (Tahfuzi wa Samaji Tibb),184,230,10,TEMP-9790000002067,,,,,,,,,
Dt217qHPyaZFWk7Hyvab,Naak Kaan Aur Galy Ki Bimariya,Hkm. Mugiz Anjum,General,Undefined,0,0,10,TEMP-9790000002074,,,,,,,,,
VOse0k9iz0W4arvKgBmC,Nabz Wa Qaroora,Hkm. Mansoor Ahmad,2nd (Second) Prof.,Bed Side Clinic (Sareeriyat),160,200,10,TEMP-9790000002081,,,,,,,,,
UOnNjqgZ23EEGX8zI9wi,Nai Jawani,Hkm. Krishan Kuwar Dat Sharma,General,Undefined,40,50,10,TEMP-9790000002098,,,,,,,,,
tDxYSY3BbJwdH9Lbqwz6,Naqush Ka Rasool Number,,General,Undefined,6400,8000,10,TEMP-9790000002104,,,,,,,,,
bg03BCXXh4Lin0CEHGO4,Natural Medical Health Guide,Saba Rasheed,General,Undefined,96,120,10,TEMP-9790000002111,,,,,,,,,
yXjZOg9VNPaIX72L9QIA,Neck Pain (Cervical Spondylosis),Dr. Mohammad Tausif,Masters or P.G.,Undefined,160,200,10,9788190000000,,,,,,,,,
wHJY1YJfsSVXgUCHHI3J,NFUM,CCRUM,Reference Books,Undefined,0,0,10,TEMP-9790000002128,,,,,,,,,
Ki2evuoZqQnHhqau9j0w,Nizame Asab (Nervouse System),Dr. Mohd Saleem,Masters or P.G.,Undefined,400,500,10,TEMP-9790000002135,,,,,,,,,
